Name,Type,Exterior,Rarity,Extra,Average volume sale,Average price (VND),Max price (VND),Days to reach max,Min price (VND),Days to reach min,Price change (%),Time on market (days)
Sticker | Vega Squadron | Boston 2018,Sticker,None,High Grade,Normal,18.30402434,18166.30984,48915.574,950,3669.548,58,0.43,1805
M4A4 | Griffin (Field-Tested),Rifle,Field-Tested,Restricted,Normal,618.0620713,58185.77011,126790.992,28,6679.139,285,-0.68,2940
StatTrak™ USP-S | Flashback (Field-Tested),Pistol,Field-Tested,Restricted,StatTrak™,143.0808701,76973.50358,282038.812,0,34256.863,1051,-0.86,1455
PP-Bizon | Embargo (Minimal Wear),SMG,Minimal Wear,Restricted,Normal,50.16140796,34695.2453,149196.906,233,23977.922,0,0.7,1106
M4A4 | Converter (Well-Worn),Rifle,Well-Worn,Mil-Spec,Normal,10.20462159,59353.47568,191942.094,12,21928.889,1186,-0.68,1517
Sealed Graffiti | FACEIT | London 2018,Others,None,High Grade,Normal,11.78116485,21455.11878,84621.836,1184,3887.949,89,0.92,1552
Sticker | Team Liquid (Foil) | Stockholm 2021,Sticker,None,Exotic,Normal,174.1202823,23518.7385,81794.109,0,9694.781,66,-0.55,405
M4A1-S | Nitro (Well-Worn),Rifle,Well-Worn,Restricted,Normal,146.3337273,44107.22108,654026.312,0,14384.679,1671,-0.94,3289
Sawed-Off | Apocalypto (Factory New),Shotgun,Factory New,Restricted,Normal,42.85974719,53800.97371,318958.188,0,32551.432,540,-0.89,973
Sticker | tiziaN (Gold) | Antwerp 2022,Sticker,None,Extraordinary,Normal,7.948011905,71637.9097,437753.969,0,32023.746,152,-0.91,209
M4A4 | Evil Daimyo (Well-Worn),Rifle,Well-Worn,Restricted,Normal,70.7117224,61199.93471,122461.062,2053,10317.497,89,-0.5,2744
USP-S | Blood Tiger (Minimal Wear),Pistol,Minimal Wear,Mil-Spec,Normal,408.9676447,20498.43403,59351.508,3003,2069.844,124,1.39,3064
Souvenir R8 Revolver | Night (Factory New),Pistol,Factory New,Consumer Grade,Souvenir,3.658596491,71535.80115,1363686.125,357,31709.131,393,-0.54,398
StatTrak™ R8 Revolver | Crazy 8 (Well-Worn),Pistol,Well-Worn,Restricted,StatTrak™,28.19340966,68014.15203,145217.5,0,34703.90182,150,-0.75,151
Souvenir AUG | Radiation Hazard (Battle-Scarred),Rifle,Battle-Scarred,Industrial Grade,Souvenir,3.315517913,38256.81807,2269405.25,478,289.338,2927,-0.81,3026
Sticker | HS | Krakow 2017,Sticker,None,High Grade,Normal,36.36759056,10478.00182,71941.164,1929,1645.871,17,4.02,1972
Sticker | JW (Foil) | London 2018,Sticker,None,Remarkable,Normal,8.096613546,28431.42206,150942.672,698,3838.833,57,1.49,1550
Sticker | mezii (Holo) | Rio 2022,Sticker,None,Exotic,Normal,3.400537634,31960.47364,63558.97267,13,13315.122,28,-0.71,39
Five-SeveN | Fowl Play (Battle-Scarred),Pistol,Battle-Scarred,Classified,Normal,38.21358381,42955.21602,164387.969,0,17776.621,1457,-0.77,3073
CZ75-Auto | Syndicate (Minimal Wear),Pistol,Minimal Wear,Restricted,Normal,180.0535807,26100.91152,57543.51227,426,14760.205,50,0.62,434
Sticker | FalleN | London 2018,Sticker,None,High Grade,Normal,31.9828173,23841.02158,49349.219,879,5918.55,24,0.76,1552
Sticker | sergej (Foil) | Katowice 2019,Sticker,None,Remarkable,Normal,10.30789946,27787.88023,107403.664,0,7585.162,312,-0.7,1389
Sticker | Eternal Fire (Holo) | Antwerp 2022,Sticker,None,Exotic,Normal,154.9545098,75150.04747,213643.656,5,35520.6415,208,-0.79,210
Sticker | Magisk (Foil) | Katowice 2019,Sticker,None,Remarkable,Normal,12.98400787,28480.79299,165854.25,537,5337.437,31,1.2,1391
StatTrak™ Nova | Clear Polymer (Well-Worn),Shotgun,Well-Worn,Restricted,StatTrak™,19.70493528,27279.38594,49838.83,713,12304.291,325,0.23,726
Sticker | Coral Skill Surf (Holo),Sticker,None,Remarkable,Normal,65.38128886,12907.5517,52537.5484,415,3287.695,71,4.62,433
Five-SeveN | Fowl Play (Well-Worn),Pistol,Well-Worn,Classified,Normal,61.0177605,43022.50007,155484.797,0,21164.812,725,-0.79,3073
StatTrak™ P250 | Iron Clad (Factory New),Pistol,Factory New,Mil-Spec,StatTrak™,4.212826119,51561.12008,1238866.625,1302,21554.059,1957,-0.88,2356
StatTrak™ Sawed-Off | Serenity (Well-Worn),Shotgun,Well-Worn,Restricted,StatTrak™,5.072922112,64754.33331,1735680.625,781,3236.916,2650,-0.86,2881
Sealed Graffiti | Cloud9 | Boston 2018,Others,None,High Grade,Normal,14.04849885,25564.05197,58713.324,1036,6847.887,40,1.78,1805
StatTrak™ AUG | Aristocrat (Well-Worn),Rifle,Well-Worn,Restricted,StatTrak™,4.237861637,65752.35128,362855.844,0,22759.35,2288,-0.9,2357
FAMAS | Rapid Eye Movement (Well-Worn),Rifle,Well-Worn,Classified,Normal,82.91885843,77446.36848,401801.562,0,36883.46074,309,-0.9,313
Tec-9 | Brother (Factory New),Pistol,Factory New,Restricted,Normal,35.7987705,46477.21335,319087.719,0,23777.875,412,-0.88,845
Sticker | f0rest | Cologne 2015,Sticker,None,High Grade,Normal,42.34034847,20782.60399,78356.383,1807,5999.652,103,-0.32,2663
Sticker | sico (Gold) | Antwerp 2022,Sticker,None,Extraordinary,Normal,6.617894737,54703.10078,251423.109,26,28025.779,101,-0.72,209
SSG 08 | Sand Dune (Well-Worn),Rifle,Well-Worn,Consumer Grade,Normal,14.31340266,16961.88989,546364.812,653,278.663,378,44.25,3071
StatTrak™ Galil AR | Crimson Tsunami (Well-Worn),Rifle,Well-Worn,Restricted,StatTrak™,4.233350323,37854.18376,276469.125,1,15811.63,635,-0.68,2085
StatTrak™ Glock-18 | Moonrise (Minimal Wear),Pistol,Minimal Wear,Restricted,StatTrak™,88.42087199,110914.9934,1031533.875,0,34381.645,1592,-0.97,1748
SSG 08 | Hand Brake (Factory New),Rifle,Factory New,Mil-Spec,Normal,23.60243385,61582.41961,406941.719,0,34079.773,1153,-0.9,1518
XM1014 | Incinegator (Well-Worn),Shotgun,Well-Worn,Classified,Normal,14.62325157,48313.58738,155055.891,1,22880.572,1319,-0.71,1356
StatTrak™ Negev | Power Loader (Battle-Scarred),Machinegun,Battle-Scarred,Restricted,StatTrak™,4.771988785,51668.76964,283753.906,44,7010.471,811,-0.73,2548
Sticker | saffee (Holo) | Rio 2022,Sticker,None,Exotic,Normal,3.183401361,61963.72285,234503.422,6,27770.891,30,-0.47,36
P250 | Contamination (Factory New),Pistol,Factory New,Industrial Grade,Normal,29.38674091,21711.86194,133424.859,2328,5899.379,1187,-0.52,3016
Sticker | kNgV- | Krakow 2017,Sticker,None,High Grade,Normal,35.59296394,15514.61807,54860.996,1111,2060.854,17,3.46,1970
Sticker | sk0R (Gold) | Antwerp 2022,Sticker,None,Extraordinary,Normal,7.091319444,62581.52183,288618.906,3,33280.184,140,-0.84,209
Sticker | NiKo (Foil) | Berlin 2019,Sticker,None,Remarkable,Normal,33.42650754,66510.06225,290926.5,349,8044.625,107,0.34,1203
Sticker | byali (Foil) | London 2018,Sticker,None,Remarkable,Normal,4.794084187,17184.26611,199990.375,1509,352.083,955,-0.15,1551
MP7 | Groundwater (Minimal Wear),SMG,Minimal Wear,Consumer Grade,Normal,16.54686953,20283.51876,728737.938,2903,501.508,173,-0.13,3357
Souvenir Tec-9 | Blast From the Past (Factory New),Pistol,Factory New,Mil-Spec,Souvenir,3.18607285,45533.72082,112595.57,291,22811.803,245,-0.69,398
Sticker | Winstrike Team (Holo) | London 2018,Sticker,None,Remarkable,Normal,11.21803653,37110.35433,157232.969,698,13689.828,194,-0.1,1550
StatTrak™ M249 | Deep Relief (Factory New),Machinegun,Factory New,Mil-Spec,StatTrak™,6.682352941,39069.67505,237231.25,25,24538.572,654,0.15,727
Sticker | coldzera | Boston 2018,Sticker,None,High Grade,Normal,24.64010706,27016.74324,79071.461,949,6033.532,58,0.21,1806
Five-SeveN | Triumvirate (Minimal Wear),Pistol,Minimal Wear,Restricted,Normal,97.06843035,24567.8247,89106.977,1939,8822.218,282,-0.25,2477
StatTrak™ P2000 | Obsidian (Field-Tested),Pistol,Field-Tested,Restricted,StatTrak™,32.43784239,36227.79247,75880.75,1038,26073.152,677,-0.14,1107
UMP-45 | Gold Bismuth (Field-Tested),SMG,Field-Tested,Restricted,Normal,287.5928774,20173.53656,41304.49158,712,9545.629,224,0.52,727
Rezan The Ready | Sabre,Others,None,None,Normal,652.3492313,42627.00224,121544.5,2,20780.736,744,-0.61,1108
Sticker | IHC Esports (Gold) | Antwerp 2022,Sticker,None,Extraordinary,Normal,30.09581842,55480.83786,267801.469,0,27992.412,121,-0.89,209
